Timestep,Marker ID,Position (x),Position (y),Position (z)
95,4,12.670411924629834,8.346419023925726,52.45453765252165
95,3,-14.107774713402756,-10.511420984508508,38.22313131337092
96,4,12.670411924629834,8.346419023925726,52.45453765252165
96,3,-14.274186552164625,-10.626442913871198,38.74982106184454
97,4,12.565793921160406,8.264386265085122,51.87654800531174
97,3,-14.206243764128534,-10.572610938266342,38.4498567579786
98,4,12.670411924629834,8.346419023925726,52.45453765252165
98,3,-14.107774713402756,-10.511420984508508,38.22313131337092
99,4,12.565793921160406,8.264386265085122,51.87654800531174
99,3,-14.107774713402756,-10.511420984508508,38.22313131337092
100,4,12.565793921160406,8.264386265085122,51.87654800531174
100,3,-14.107774713402756,-10.511420984508508,38.22313131337092
101,4,12.565793921160406,8.264386265085122,51.87654800531174
101,3,-14.107774713402756,-10.511420984508508,38.22313131337092
102,4,12.565793921160406,8.264386265085122,51.87654800531174
102,3,-14.107774713402756,-10.511420984508508,38.22313131337092
103,4,12.670411924629834,8.346419023925726,52.45453765252165
103,3,-14.107774713402756,-10.511420984508508,38.22313131337092
104,4,12.670411924629834,8.346419023925726,52.45453765252165
104,3,-14.107774713402756,-10.511420984508508,38.22313131337092
105,4,12.670411924629834,8.346419023925726,52.45453765252165
105,3,-14.107774713402756,-10.511420984508508,38.22313131337092
106,4,12.670411924629834,8.346419023925726,52.45453765252165
106,3,-14.107774713402756,-10.511420984508508,38.22313131337092
107,4,12.670411924629834,8.346419023925726,52.45453765252165
107,3,-14.274186552164625,-10.626442913871198,38.74982106184454
108,4,12.565793921160406,8.264386265085122,51.87654800531174
108,3,-14.274186552164625,-10.626442913871198,38.74982106184454
109,4,12.670411924629834,8.346419023925726,52.45453765252165
109,3,-14.107774713402756,-10.511420984508508,38.22313131337092
110,4,12.670411924629834,8.346419023925726,52.45453765252165
110,3,-14.107774713402756,-10.511420984508508,38.22313131337092
111,4,12.670411924629834,8.346419023925726,52.45453765252165
111,3,-14.206243764128534,-10.572610938266342,38.4498567579786
112,4,12.670411924629834,8.346419023925726,52.45453765252165
112,3,-14.107774713402756,-10.511420984508508,38.22313131337092
113,4,12.670411924629834,8.346419023925726,52.45453765252165
113,3,-14.206243764128534,-10.572610938266342,38.4498567579786
114,4,12.565793921160406,8.264386265085122,51.87654800531174
114,3,-14.206243764128534,-10.572610938266342,38.4498567579786
115,4,12.670411924629834,8.346419023925726,52.45453765252165
115,3,-14.107774713402756,-10.511420984508508,38.22313131337092
116,4,12.670411924629834,8.346419023925726,52.45453765252165
116,3,-14.047833524738964,-10.450487866758928,38.05991412111097
117,4,12.565793921160406,8.264386265085122,51.87654800531174
117,3,-14.107774713402756,-10.511420984508508,38.22313131337092
118,17,103.64998172229917,59.78844362873551,116.57370342696072
118,4,12.565793921160406,8.264386265085122,51.87654800531174
118,3,-14.107774713402756,-10.511420984508508,38.22313131337092
119,4,12.670411924629834,8.346419023925726,52.45453765252165
119,3,-14.206243764128534,-10.572610938266342,38.4498567579786
120,4,12.565793921160406,8.264386265085122,51.87654800531174
120,3,-14.274186552164625,-10.626442913871198,38.74982106184454
121,4,12.565793921160406,8.264386265085122,51.87654800531174
121,3,-14.107774713402756,-10.511420984508508,38.22313131337092
122,4,12.670411924629834,8.346419023925726,52.45453765252165
122,3,-14.274186552164625,-10.626442913871198,38.74982106184454
123,4,12.670411924629834,8.346419023925726,52.45453765252165
123,3,-14.107774713402756,-10.511420984508508,38.22313131337092
124,4,12.670411924629834,8.346419023925726,52.45453765252165
124,3,-14.274186552164625,-10.626442913871198,38.74982106184454
125,4,12.565793921160406,8.264386265085122,51.87654800531174
125,3,-14.107774713402756,-10.511420984508508,38.22313131337092
126,4,12.565793921160406,8.264386265085122,51.87654800531174
126,3,-14.274186552164625,-10.626442913871198,38.74982106184454
127,17,37.1845627555241,21.43191363167785,41.792937189011234
127,4,12.670411924629834,8.346419023925726,52.45453765252165
127,3,-14.107774713402756,-10.511420984508508,38.22313131337092
128,4,12.565793921160406,8.264386265085122,51.87654800531174
128,3,-14.274186552164625,-10.626442913871198,38.74982106184454
129,4,12.565793921160406,8.264386265085122,51.87654800531174
129,3,-14.107774713402756,-10.511420984508508,38.22313131337092
130,4,12.670411924629834,8.346419023925726,52.45453765252165
130,3,-14.206243764128534,-10.572610938266342,38.4498567579786
131,4,12.670411924629834,8.346419023925726,52.45453765252165
131,3,-14.206243764128534,-10.572610938266342,38.4498567579786
132,4,12.670411924629834,8.346419023925726,52.45453765252165
132,3,-14.274186552164625,-10.626442913871198,38.74982106184454
